Staff_ID,Staff_FName,Staff_LName,Dept,Email,Role
130001,John,Sim,Chariman,jack.sim@allinone.com.sg,Admin
130002,Jack,Sim,CEO,jack.sim@allinone.com.sg,Admin
140001,Derek,Tan,Sales,Derek.Tan@allinone.com.sg,Manager
140002,Susan,Goh,Sales,Susan.Goh@allinone.com.sg,User
140003,Janice,Chan,Sales,Janice.Chan@allinone.com.sg,User
140004,Mary,Teo,Sales,Mary.Teo@allinone.com.sg,User
140008,Jaclyn,Lee,Sales,Jaclyn.Lee@allinone.com.sg,User
140015,Oliva,Lim,Sales,Oliva.Lim@allinone.com.sg,User
140025,Emma,Heng,Sales,Emma.Heng@allinone.com.sg,User
140036,Charlotte,Wong,Sales,Charlotte.Wong@allinone.com.sg,User
140078,Amelia,Ong,Sales,Amelia.Ong@allinone.com.sg,User
140102,Eva,Yong,Sales,Eva.Yong@allinone.com.sg,User
140103,Sophia,Toh,Sales,Sophia.Toh@allinone.com.sg,User
140108,Liam,The,Sales,Liam.The@allinone.com.sg,User
140115,Noah,Ng,Sales,Noah.Ng@allinone.com.sg,User
140525,Oliver,Tan,Sales,Oliver.Tan@allinone.com.sg,User
140736,William,Fu,Sales,William.Fu@allinone.com.sg,User
140878,James,Tong,Sales,James.Tong@allinone.com.sg,User
150008,Eric,Loh,Ops,Eric.Loh@allinone.com.sg,Manager
150065,Noah,Goh,Ops,Noah.Goh@allinone.com.sg,User
150075,Liam,Tan,Ops,Liam.Tan@allinone.com.sg,User
150076,Oliver,Chan,Ops,Oliver.Chan@allinone.com.sg,User
150085,Michael,Ng,Ops,Michael.Ng@allinone.com.sg,User
150095,Alexander,The,Ops,Alexander.The@allinone.com.sg,User
150096,Ethan,Tan,Ops,Ethan.Tan@allinone.com.sg,User
150115,Jaclyn,Lee,Ops,Jaclyn.Lee@allinone.com.sg,User
150118,William,Teo,Ops,William.Teo@allinone.com.sg,User
150125,Mary,Teo,Ops,Mary.Teo@allinone.com.sg,User
150126,Oliva,Lim,Ops,Oliva.Lim@allinone.com.sg,User
150138,Daniel,Fu,Ops,Daniel.Fu@allinone.com.sg,User
150142,James,Lee,Ops,James.Lee@allinone.com.sg,User
150143,John,Lim,Ops,John.Lim@allinone.com.sg,User
150148,Jack,Heng,Ops,Jack.Heng@allinone.com.sg,User
150155,Derek,Wong,Ops,Derek.Wong@allinone.com.sg,User
150162,Jacob,Tong,Ops,Jacob.Tong@allinone.com.sg,User
150163,Logan,Loh,Ops,Logan.Loh@allinone.com.sg,User
150165,Oliver,Tan,Ops,Oliver.Tan@allinone.com.sg,User
150166,William,Fu,Ops,William.Fu@allinone.com.sg,User
150168,Jackson,Tan,Ops,Jackson.Tan@allinone.com.sg,User
150175,Aiden,Tan,Ops,Aiden.Tan@allinone.com.sg,User
150192,Emma,Heng,Ops,Emma.Heng@allinone.com.sg,User
150193,Charlotte,Wong,Ops,Charlotte.Wong@allinone.com.sg,User
150198,Amelia,Ong,Ops,Amelia.Ong@allinone.com.sg,User
150205,Eva,Yong,Ops,Eva.Yong@allinone.com.sg,User
150208,James,Tong,Ops,James.Tong@allinone.com.sg,User
150215,Michael,Lee,Ops,Michael.Lee@allinone.com.sg,User
150216,Ethan,Lim,Ops,Ethan.Lim@allinone.com.sg,User
